ORF,Ara+2_R_seg1,Ara+2_R_seg2,Ara+2_R_seg3,Ara+2_R_seg4,Ara+2_R_seg5,Ara+2_2K_seg1,Ara+2_2K_seg2,Ara+2_2K_seg3,Ara+2_2K_seg4,Ara+2_2K_seg5,Ara+2_15K_seg1,Ara+2_15K_seg2,Ara+2_15K_seg3,Ara+2_15K_seg4,Ara+2_15K_seg5,Ara-1_R_seg1,Ara-1_R_seg2,Ara-1_R_seg3,Ara-1_2K_seg1,Ara-1_2K_seg2,Ara-1_2K_seg3,Ara-1_15K_seg1,Ara-1_15K_seg2,Ara-1_15K_seg3
ECB_00512,-0.0012328314245804,0.0053620828724001,0.014048640198913,,,-0.0080590737492093,-0.0019418732783344,0.0366032111880848,,,-0.0233485563039459,-0.0233159443945308,-0.0195799149276242,,,-0.0018227220239367,-0.0067393228763743,,-0.0149239239462209,-0.0204886217580773,,,,
ECB_00513,0.0040960815254959,,-0.0033207645441188,0.008624815146424,-0.0138252405990452,-0.0158438431957102,,-0.0042717207079939,-0.0040641643144789,-0.020265397589722,,,-0.047623939142118,-0.049504573544695,,,-0.0058163858724254,-0.0086521820622867,-0.0064905218901851,-0.0178026728778504,0.0065664657066434,,-0.0100939425976169,0.0014883564028864
ECB_00514,-0.0248580377929257,-0.0271749932159639,0.034287958341087,,,0.0087284946895534,-0.0141842902548444,,,,,,,,,,,,,,,,,
ECB_00515,-0.0138284544341543,-0.0110014933698118,0.0016845963438064,-0.0092735815255643,-0.0301706015556463,0.025348407800963,-0.0041780711211906,0.0352995976024753,-0.0212529296316533,,,-0.0658135927568207,-0.0155173638526635,,,-0.0155408341487101,-0.0603401149249898,,-0.0044067951383672,0.0014702682336568,,,-0.0182099603476002,
ECB_00516,-0.000868290346322,,,,,-0.0146852577159012,,,,,-0.0072039175724359,,,,,,,,-0.0378830865936716,,,,,
ECB_00517,0.0041310244251795,,,,0.0118658500900478,-0.0055058809187296,,,,-0.0005779016195778,0.0062594399358444,,,,,0.0001571359693329,,,-0.0230164850657476,,,0.0148197766010368,0.0202627226777844,
ECB_00524,-0.0429562033662276,-0.0235013033847491,0.033750970378071,0.0074815333644747,0.0060593100500446,0.0135871904348206,,0.0229500900164916,-0.0253732773511301,-0.0556770065419166,,,,,,,-0.0102430615384579,,,-0.0060562931098633,,,0.0005233002982878,
ECB_00527,,,0.039961093840567,,0.0008482181082671,,,,,-0.013057822196262,,,,,,,,0.0125649897038165,,,,,,
ECB_00528,,-0.0449863233385356,,0.0490609484472861,-0.126181321695621,0.0243397669609781,,,-0.020668371182596,0.0601392462016331,,,,,,,,,,,-0.0341059826591539,,0.0043935609107864,
ECB_00529,-0.0152783587814748,0.0200750085259592,0.0150455189021245,-0.0311291372875865,,-0.0018880915211517,0.0013039064535061,0.0114593665598322,-0.0281534095193678,,,,0.0121959528011881,,,0.0062992564685791,-0.0083661895829878,,0.0076684114685757,0.018610774399839,,-0.0204549781176739,,
